PathfinderMode: 0
LeftPercent,RightPercent,LeftEncoder,RightEncoder,Gyro,X,Y,HeadingError
0.0012967,0.00118354,-7999,-14999,-0.000243784,-0.40637,1.524,-0.00188601
-0.000145115,0.00199399,-7999,-14998,0.00436453,-0.406348,1.524,0.00253819
0.00274762,0.00723596,-7998,-14997,0.0140339,-0.406229,1.524,0.00733414
0.00480318,0.0132919,-7997,-14996,0.0323212,-0.406013,1.524,0.0143776
0.00765872,0.0212621,-7996,-14994,0.0616273,-0.405668,1.524,0.022189
0.0113449,0.030707,-7995,-14992,0.10334,-0.405166,1.524,0.0304329
0.015864,0.0421504,-7994,-14989,0.159969,-0.404473,1.524,0.0397693
0.0212545,0.0551446,-7992,-14986,0.232979,-0.403561,1.52401,0.0497098
0.0270589,0.0702057,-7990,-14982,0.325931,-0.4024,1.52401,0.06078
0.0338217,0.0868479,-7988,-14977,0.440167,-0.40096,1.52402,0.071366
0.0415572,0.105115,-7985,-14971,0.577091,-0.399209,1.52404,0.0820201
0.0498194,0.125045,-7982,-14964,0.739151,-0.397121,1.52407,0.0931666
0.0591339,0.146637,-7978,-14956,0.92766,-0.394665,1.52411,0.104111
0.069064,0.169919,-7974,-14947,1.14493,-0.391813,1.52417,0.115201
0.0801451,0.194882,-7969,-14937,1.39212,-0.38853,1.52425,0.125677
0.0919503,0.221544,-7964,-14925,1.6713,-0.38479,1.52436,0.135832
0.105025,0.249418,-7958,-14912,1.98237,-0.380561,1.5245,0.144865
0.118923,0.279009,-7951,-14897,2.32725,-0.375814,1.52469,0.154043
0.133735,0.309816,-7944,-14881,2.70659,-0.370525,1.52494,0.162412
0.149995,0.342301,-7936,-14863,3.12087,-0.364657,1.52526,0.170108
0.167305,0.375982,-7927,-14843,3.57043,-0.358183,1.52567,0.177212
0.185743,0.410842,-7917,-14822,4.05537,-0.351079,1.52617,0.183767
0.205393,0.447323,-7906,-14799,4.57656,-0.343312,1.52679,0.189784
0.226373,0.484897,-7894,-14774,5.13351,-0.334855,1.52755,0.194252
0.248381,0.52267,-7881,-14747,5.72441,-0.325696,1.52847,0.196401
0.271083,0.559752,-7867,-14718,6.3463,-0.315838,1.52957,0.195672
0.294502,0.596118,-7851,-14687,6.99608,-0.305285,1.53086,0.19259
0.31819,0.631749,-7834,-14654,7.67158,-0.294046,1.53238,0.187687
0.342663,0.666597,-7816,-14619,8.36944,-0.282126,1.53413,0.180501
0.367925,0.700657,-7797,-14583,9.08625,-0.269529,1.53615,0.17172
0.39398,0.734394,-7776,-14545,9.81962,-0.256256,1.53844,0.162031
0.420386,0.767315,-7754,-14505,10.567,-0.242318,1.54104,0.15111
